COMMAND: ./post_m29_bc_interval_formula_mpfr
B/C interval fixed-template direct-tail MPFR onset verifier
b_rank_lo=14 b_rank_hi=217 c_rank_lo=20 c_rank_hi=217 include_b=1 include_c=1 b_radius_slope=22 c_radius_slope=19 b_radius_offset=0 c_radius_offset=0 search_lo=63 search_hi=40001 slack=32 cheb_degree=8 cheb_scale=12000 cutoff=80 majorant_degree=32 log10_neg=-15 mpfr_precision=384 mpfr_version=4.2.1 max_fact=94396 OpenMP threads=32
CONDITIONAL_INPUT requires uniform B/C Chebyshev negative-tail bound degree=8 scale=12000 cutoff=80 majorant_degree=32 log10_negative_upper<=-15
factorial_log_precompute_start max_fact=94396
factorial_log_precompute_done max_fact=94396
row	onset	margin_lower_log10	slack_target	slack_margin_lower_log10	radius	c_push_lower
C_93	4197	3.31432800108725415147012	4229	64.8898011636145046787461	1767	15622.35421307689758352
C_94	4295	0.18134475941275748368553	4327	61.921319007074852758911	1786	15978.35421307689758352
C_95	4397	2.39047563455543997387993	4429	64.2930262365486491172856	1805	16338.35421307689758352
C_96	4499	2.24141291241498574478719	4531	64.3046596640410027439102	1824	16702.35421307689758352
C_97	4603	3.58431243622284341895258	4635	65.8064181312821858254189	1843	17070.35421307689758352
C_98	4707	2.54742096797723193499042	4739	64.9265899402590739404483	1862	17442.35421307689758352
C_99	4813	3.00092595890489135499752	4845	65.5354026889099624014688	1881	17818.35421307689758352
C_100	4919	1.05360517739663889137344	4951	63.7416729606861860105906	1900	18198.35421307689758352
C_101	5027	0.595223413387762289581369	5059	63.4352030871883097524932	1919	18582.35421307689758352
C_102	5137	1.65240443251794544744055	5169	64.6426531574303886232288	1938	18970.35421307689758352
C_103	5247	0.2695666530002378601163	5279	63.4084767468642152506844	1957	19362.35421307689758352
C_104	5359	0.40068095587669703225358	5391	63.6866787770285846613456	1976	19758.35421307689758352
